4202	Error 	Unknown 	2022-01-31 13:13:04 	admin 	The user has tried to log in with the wrong password: 'lskdnfoisen'and the number of attempts is 3 
4243	Error 	Unknown 	2022-02-06 11:57:05 	admin 	The user has failed to confirm his password: 'fjgyyj', and the number of attempts has exceeded the limit while changing the password for the user that has an id: '5' 
2241	Information 	Unknown 	2022-02-06 11:59:00 	admin 	The user has confirmed his password successfully to change the password for the user that has an id: '5' 
2202	Information 	 	2022-02-06 12:21:53 	admin 	The user has logged out successfully 
2201	Information 	Unknown 	2022-02-06 13:22:09 	admin 	The user has logged in successfully 
2241	Information 	Unknown 	2022-02-06 13:22:30 	admin 	The user has confirmed his password successfully to change the password for the user that has an id: '5' 
2261	Information 	Unknown 	2022-02-06 13:22:39 	admin 	The password has been reset successfully for the user that has an id: '5' 
2241	Information 	Unknown 	2022-02-06 13:22:55 	admin 	The user has confirmed his password successfully to change the password for the user that has an id: '5' 
3261	Warning 	Unknown 	2022-02-06 13:22:59 	admin 	The user has failed to reset the password while changing the password for the user that has an id: '5' because the confirm password did not match 
2202	Information 	 	2022-02-06 12:23:35 	admin 	The user has logged out successfully 
2201	Information 	Unknown 	2022-02-06 13:23:47 	peterayad 	The user has logged in successfully 
2202	Information 	 	2022-02-06 12:23:51 	peterayad 	The user has logged out successfully 
2201	Information 	Unknown 	2022-02-06 13:24:00 	admin 	The user has logged in successfully 
2242	Information 	Unknown 	2022-02-06 13:32:56 	admin 	The user has confirmed his password successfully to delete the user that has an id: '5' 
2302	Information 	Unknown 	2022-02-06 13:32:56 	admin 	The user with an id: '5' is deleted successfully 
2202	Information 	Unknown 	2022-02-06 14:14:19 	admin 	The user has logged out successfully 
2201	Information 	Unknown 	2022-02-06 14:14:28 	admin 	The user has logged in successfully 
2241	Information 	Unknown 	2022-02-06 14:15:45 	admin 	The user has confirmed his password successfully to change the password for the user that has an id: '2' 
2261	Information 	Unknown 	2022-02-06 14:15:51 	admin 	The password has been reset successfully for the user that has an id: '2' 
2351	Information 	Unknown 	2022-02-06 14:16:26 	admin 	The student: 'student2' with an id: '3' data is updated successfully 
2241	Information 	Unknown 	2022-02-06 14:16:35 	admin 	The user has confirmed his password successfully to change the password for the user that has an id: '3' 
2261	Information 	Unknown 	2022-02-06 14:16:40 	admin 	The password has been reset successfully for the user that has an id: '3' 
2241	Information 	Unknown 	2022-02-06 14:16:52 	admin 	The user has confirmed his password successfully to change the password for the user that has an id: '4' 
2261	Information 	Unknown 	2022-02-06 14:16:58 	admin 	The password has been reset successfully for the user that has an id: '4' 
2201	Information 	Unknown 	2022-02-07 10:24:14 	student 	The user has logged in successfully 
2202	Information 	Unknown 	2022-02-09 09:20:35 	student 	The user has logged out successfully 
2201	Information 	Unknown 	2022-02-09 09:20:51 	admin 	The user has logged in successfully 
2202	Information 	 	2022-02-09 08:28:35 	admin 	The user has logged out successfully 
2201	Information 	Unknown 	2022-02-09 09:28:48 	student 	The user has logged in successfully 
2202	Information 	 	2022-02-09 08:28:58 	student 	The user has logged out successfully 
2201	Information 	Unknown 	2022-02-09 09:29:08 	student2 	The user has logged in successfully 
2202	Information 	 	2022-02-09 08:29:15 	student2 	The user has logged out successfully 
2201	Information 	Unknown 	2022-02-09 09:31:57 	student4 	The user has logged in successfully 
3321	Warning 	Unknown 	2022-02-09 09:48:44 	student4 	The student has tried to add an oversized answer document: 'Fundamentals_of_Financial_Management_Ele.pdf', and document size: '10633326' for the homework: 'Homework4' 
3321	Warning 	Unknown 	2022-02-09 09:48:53 	student4 	The student has tried to add an oversized answer document: 'Fundamentals_of_Financial_Management_Ele.pdf', and document size: '10633326' for the homework: 'Homework4' 
3321	Warning 	Unknown 	2022-02-09 09:50:20 	student4 	The student has tried to add an oversized answer document: 'Fundamentals_of_Financial_Management_Ele.pdf', and document size: '10633326' for the homework: 'Homework4' 
3322	Warning 	Unknown 	2022-02-09 09:50:51 	student4 	The student has tried to add an answer document: '20210920_144200.jpg' that has an unallowed extension, and document size: '5456015' 
2301	Information 	Unknown 	2022-02-09 09:51:39 	student4 	The student has added an answer document: 'Fundamentals_of_Financial_Management_Ele.pdf' for the homework: 'Homework4' successfully 
2301	Information 	Unknown 	2022-02-09 09:53:31 	student4 	The student has added an answer document: 'Peter Ayad.pdf' for the homework: 'Homework4' successfully 
2301	Information 	Unknown 	2022-02-09 09:56:43 	student4 	The student has added an answer document: 'Fundamentals_of_Financial_Management_Ele.pdf' for the homework: 'Homework4' successfully 
2301	Information 	Unknown 	2022-02-09 09:57:16 	student4 	The student has added an answer document: 'aFundamentals_of_Financial_Management_Ele.pdf' for the homework: 'Homework3' successfully 
2202	Information 	 	2022-02-09 08:57:34 	student4 	The user has logged out successfully 
2201	Information 	Unknown 	2022-02-09 09:57:43 	admin 	The user has logged in successfully 
2302	Information 	Unknown 	2022-02-09 09:58:26 	admin 	The answer document: 'student4-Homework4' with an id: '4' is deleted successfully 
2302	Information 	Unknown 	2022-02-09 09:59:45 	admin 	The answer document: 'student4-Homework3' with an id: '5' is deleted successfully 
2202	Information 	Unknown 	2022-02-09 11:01:12 	admin 	The user has logged out successfully 
2201	Information 	Unknown 	2022-02-09 11:01:21 	admin 	The user has logged in successfully 
2351	Information 	Unknown 	2022-02-09 11:01:41 	admin 	The homework document: 'Homework7' with an id: '5' data is updated successfully 
2281	Information 	Unknown 	2022-02-09 11:02:00 	admin 	The user has added a student: 'peter' with an id: '5' successfully 
2202	Information 	 	2022-02-09 10:02:13 	admin 	The user has logged out successfully 
2201	Information 	Unknown 	2022-02-09 11:02:20 	peter 	The user has logged in successfully 
2301	Information 	Unknown 	2022-02-09 11:02:35 	peter 	The student has added an answer document: 'Fundamentals_of_Financial_Management_Ele.pdf' for the homework: 'Homework2' successfully 
2301	Information 	Unknown 	2022-02-09 11:03:10 	peter 	The student has added an answer document: 'Peter Ayad.pdf' for the homework: 'Homework3' successfully 
2301	Information 	Unknown 	2022-02-09 11:03:39 	peter 	The student has added an answer document: 'Micheal Michel CV.pdf' for the homework: 'Homework7' successfully 
2202	Information 	 	2022-02-09 10:04:17 	peter 	The user has logged out successfully 
2201	Information 	Unknown 	2022-02-09 11:04:25 	admin 	The user has logged in successfully 
2303	Information 	Unknown 	2022-02-09 11:05:03 	admin 	The homework document: '' with an id: '5' is deleted successfully 
2304	Information 	Unknown 	2022-02-09 11:05:03 	admin 	The answers for this deleted homework document: '' has been assigned for homework id -1 
2242	Information 	Unknown 	2022-02-09 11:09:35 	admin 	The user has confirmed his password successfully to delete the user that has an id: '5' 
2302	Information 	Unknown 	2022-02-09 11:09:35 	admin 	The user with an id: '5' is deleted successfully 
2305	Information 	Unknown 	2022-02-09 11:09:35 	admin 	All answers for the deleted student: '5' has been deleted successfully 
