2001	Information 	Unknown 	2022-01-30 14:22:43 	Connection established successfully with database 
2003	Information 	Unknown 	2022-01-30 14:58:50 	The 'SELECT id, type, level FROM users WHERE user = ?' query executed successfully 
2003	Information 	Unknown 	2022-01-30 14:58:50 	The 'SELECT * FROM videos' query executed successfully 
2002	Information 	Unknown 	2022-01-30 14:58:50 	Connection closed successfully with database 
2001	Information 	Unknown 	2022-01-30 14:58:53 	Connection established successfully with database 
2003	Information 	Unknown 	2022-01-30 14:58:53 	The 'SELECT id, type, level FROM users WHERE user = ?' query executed successfully 
2003	Information 	Unknown 	2022-01-30 14:58:53 	The 'SELECT * FROM videos' query executed successfully 
2002	Information 	Unknown 	2022-01-30 14:58:53 	Connection closed successfully with database 
2001	Information 	Unknown 	2022-01-30 14:58:55 	Connection established successfully with database 
2003	Information 	Unknown 	2022-01-30 14:58:55 	The 'SELECT id, type, level FROM users WHERE user = ?' query executed successfully 
2003	Information 	Unknown 	2022-01-30 14:58:55 	The 'SELECT * FROM videos' query executed successfully 
2002	Information 	Unknown 	2022-01-30 14:58:55 	Connection closed successfully with database 
2001	Information 	Unknown 	2022-01-30 15:04:56 	Connection established successfully with database 
2003	Information 	Unknown 	2022-01-30 15:04:56 	The 'SELECT id, type, level FROM users WHERE user = ?' query executed successfully 
2003	Information 	Unknown 	2022-01-30 15:04:56 	The 'SELECT * FROM videos WHERE id = ?' query executed successfully 
2003	Information 	Unknown 	2022-01-30 15:04:56 	The 'UPDATE videos SET counter= ? WHERE id = ?' query executed successfully 
2002	Information 	Unknown 	2022-01-30 15:04:56 	Connection closed successfully with database 
2001	Information 	Unknown 	2022-01-30 15:08:09 	Connection established successfully with database 
2003	Information 	Unknown 	2022-01-30 15:08:09 	The 'SELECT id, type, level FROM users WHERE user = ?' query executed successfully 
2003	Information 	Unknown 	2022-01-30 15:08:09 	The 'SELECT * FROM videos' query executed successfully 
2002	Information 	Unknown 	2022-01-30 15:08:09 	Connection closed successfully with database 
2001	Information 	Unknown 	2022-01-31 13:11:58 	Connection established successfully with database 
2003	Information 	Unknown 	2022-01-31 13:11:58 	The 'SELECT * FROM anonymous WHERE ip = ?' query executed successfully 
2003	Information 	Unknown 	2022-01-31 13:11:58 	The 'SELECT * FROM users WHERE user = ?' query executed successfully 
2003	Information 	Unknown 	2022-01-31 13:11:58 	The 'SELECT * FROM anonymous' query executed successfully 
2003	Information 	Unknown 	2022-01-31 13:11:58 	The 'SELECT * FROM users WHERE user = ?' query executed successfully 
2003	Information 	Unknown 	2022-01-31 13:11:58 	The 'UPDATE users SET timestamp = ?, attempts = ? WHERE user = ?' query executed successfully 
2003	Information 	Unknown 	2022-01-31 13:11:58 	The 'INSERT INTO anonymous (id, ip, anattempt, timestamp) VALUES (?,?,?,?)' query executed successfully 
2002	Information 	Unknown 	2022-01-31 13:11:58 	Connection closed successfully with database 
2001	Information 	Unknown 	2022-01-31 13:12:32 	Connection established successfully with database 
2003	Information 	Unknown 	2022-01-31 13:12:32 	The 'SELECT * FROM anonymous WHERE ip = ?' query executed successfully 
2003	Information 	Unknown 	2022-01-31 13:12:32 	The 'SELECT * FROM users WHERE user = ?' query executed successfully 
2003	Information 	Unknown 	2022-01-31 13:12:32 	The 'SELECT * FROM anonymous WHERE ip = ?' query executed successfully 
2003	Information 	Unknown 	2022-01-31 13:12:32 	The 'SELECT * FROM users WHERE user = ?' query executed successfully 
2003	Information 	Unknown 	2022-01-31 13:12:32 	The 'UPDATE users SET timestamp = ?, attempts = ? WHERE user = ?' query executed successfully 
2003	Information 	Unknown 	2022-01-31 13:12:32 	The 'UPDATE anonymous SET timestamp = ?, anattempt = ? WHERE ip = ?' query executed successfully 
2002	Information 	Unknown 	2022-01-31 13:12:32 	Connection closed successfully with database 
2001	Information 	Unknown 	2022-01-31 13:13:04 	Connection established successfully with database 
2003	Information 	Unknown 	2022-01-31 13:13:04 	The 'SELECT * FROM anonymous WHERE ip = ?' query executed successfully 
2003	Information 	Unknown 	2022-01-31 13:13:04 	The 'SELECT * FROM users WHERE user = ?' query executed successfully 
2003	Information 	Unknown 	2022-01-31 13:13:04 	The 'SELECT * FROM anonymous WHERE ip = ?' query executed successfully 
2003	Information 	Unknown 	2022-01-31 13:13:04 	The 'SELECT * FROM users WHERE user = ?' query executed successfully 
2003	Information 	Unknown 	2022-01-31 13:13:04 	The 'UPDATE users SET timestamp = ?, attempts = ? WHERE user = ?' query executed successfully 
2003	Information 	Unknown 	2022-01-31 13:13:04 	The 'UPDATE anonymous SET timestamp = ?, anattempt = ? WHERE ip = ?' query executed successfully 
2002	Information 	Unknown 	2022-01-31 13:13:04 	Connection closed successfully with database 
2001	Information 	Unknown 	2022-01-31 13:13:12 	Connection established successfully with database 
2003	Information 	Unknown 	2022-01-31 13:13:12 	The 'SELECT * FROM anonymous WHERE ip = ?' query executed successfully 
2003	Information 	Unknown 	2022-01-31 13:13:12 	The 'SELECT * FROM users WHERE user = ?' query executed successfully 
2003	Information 	Unknown 	2022-01-31 13:13:12 	The 'SELECT * FROM anonymous WHERE ip = ?' query executed successfully 
2003	Information 	Unknown 	2022-01-31 13:13:12 	The 'UPDATE anonymous SET timestamp = ?, anattempt = ? WHERE ip = ?' query executed successfully 
2002	Information 	Unknown 	2022-01-31 13:13:12 	Connection closed successfully with database 
2001	Information 	Unknown 	2022-01-31 13:13:30 	Connection established successfully with database 
2003	Information 	Unknown 	2022-01-31 13:13:30 	The 'SELECT * FROM anonymous WHERE ip = ?' query executed successfully 
2003	Information 	Unknown 	2022-01-31 13:13:30 	The 'SELECT * FROM users WHERE user = ?' query executed successfully 
2003	Information 	Unknown 	2022-01-31 13:13:30 	The 'SELECT * FROM anonymous WHERE ip = ?' query executed successfully 
2003	Information 	Unknown 	2022-01-31 13:13:30 	The 'UPDATE anonymous SET timestamp = ?, anattempt = ? WHERE ip = ?' query executed successfully 
2002	Information 	Unknown 	2022-01-31 13:13:30 	Connection closed successfully with database 
2001	Information 	Unknown 	2022-01-31 13:13:35 	Connection established successfully with database 
2003	Information 	Unknown 	2022-01-31 13:13:35 	The 'SELECT * FROM anonymous WHERE ip = ?' query executed successfully 
2003	Information 	Unknown 	2022-01-31 13:13:35 	The 'SELECT * FROM users WHERE user = ?' query executed successfully 
2003	Information 	Unknown 	2022-01-31 13:13:35 	The 'SELECT * FROM anonymous WHERE ip = ?' query executed successfully 
2002	Information 	Unknown 	2022-01-31 13:13:35 	Connection closed successfully with database 
2001	Information 	Unknown 	2022-01-31 13:38:54 	Connection established successfully with database 
2003	Information 	Unknown 	2022-01-31 13:38:54 	The 'UPDATE users SET pass = ? WHERE id = ?' query executed successfully 
2002	Information 	Unknown 	2022-01-31 13:38:54 	Connection closed successfully with database 
2001	Information 	Unknown 	2022-01-31 13:42:55 	Connection established successfully with database 
2003	Information 	Unknown 	2022-01-31 13:42:55 	The 'SELECT * FROM anonymous WHERE ip = ?' query executed successfully 
2003	Information 	Unknown 	2022-01-31 13:42:55 	The 'SELECT * FROM users WHERE user = ?' query executed successfully 
2003	Information 	Unknown 	2022-01-31 13:42:55 	The 'SELECT * FROM anonymous WHERE ip = ?' query executed successfully 
2002	Information 	Unknown 	2022-01-31 13:42:55 	Connection closed successfully with database 
2001	Information 	Unknown 	2022-01-31 13:47:30 	Connection established successfully with database 
2003	Information 	Unknown 	2022-01-31 13:47:30 	The 'SELECT * FROM anonymous WHERE ip = ?' query executed successfully 
2003	Information 	Unknown 	2022-01-31 13:47:30 	The 'SELECT * FROM users WHERE user = ?' query executed successfully 
2003	Information 	Unknown 	2022-01-31 13:47:30 	The 'SELECT * FROM anonymous WHERE ip = ?' query executed successfully 
2003	Information 	Unknown 	2022-01-31 13:47:30 	The 'SELECT * FROM users WHERE user = ?' query executed successfully 
2003	Information 	Unknown 	2022-01-31 13:47:30 	The 'UPDATE users SET timestamp = ?, attempts = ? WHERE user = ?' query executed successfully 
2003	Information 	Unknown 	2022-01-31 13:47:30 	The 'UPDATE anonymous SET timestamp = ?, anattempt = ? WHERE ip = ?' query executed successfully 
2002	Information 	Unknown 	2022-01-31 13:47:30 	Connection closed successfully with database 
2001	Information 	Unknown 	2022-01-31 13:47:30 	Connection established successfully with database 
2003	Information 	Unknown 	2022-01-31 13:47:30 	The 'SELECT id, type, level FROM users WHERE user = ?' query executed successfully 
2003	Information 	Unknown 	2022-01-31 13:47:30 	The 'SELECT * FROM videos' query executed successfully 
2002	Information 	Unknown 	2022-01-31 13:47:30 	Connection closed successfully with database 
2001	Information 	Unknown 	2022-01-31 14:32:01 	Connection established successfully with database 
2003	Information 	Unknown 	2022-01-31 14:32:01 	The 'SELECT id, type, level FROM users WHERE user = ?' query executed successfully 
2003	Information 	Unknown 	2022-01-31 14:32:01 	The 'SELECT * FROM levels' query executed successfully 
2002	Information 	Unknown 	2022-01-31 14:32:01 	Connection closed successfully with database 
2001	Information 	Unknown 	2022-01-31 22:17:53 	Connection established successfully with database 
2003	Information 	Unknown 	2022-01-31 22:17:53 	The 'SELECT id, type, level FROM users WHERE user = ?' query executed successfully 
4003	Error 	Unknown 	2022-01-31 22:17:56 	Unable to process query (check your params) -  MySQL server has gone away
4004	Error 	Unknown 	2022-01-31 22:17:56 	Unable to process query (check your params) - MySQL server has gone away
4001	Error 	Unknown 	2022-01-31 22:18:09 	Failed to connect to the Database -  No connection could be made because the target machine actively refused it.

4004	Error 	Unknown 	2022-01-31 22:18:09 	Failed to connect to the Database - No connection could be made because the target machine actively refused it.

4001	Error 	Unknown 	2022-01-31 22:18:38 	Failed to connect to the Database -  No connection could be made because the target machine actively refused it.

4004	Error 	Unknown 	2022-01-31 22:18:38 	Failed to connect to the Database - No connection could be made because the target machine actively refused it.

4001	Error 	Unknown 	2022-01-31 22:18:54 	Failed to connect to the Database -  No connection could be made because the target machine actively refused it.

4004	Error 	Unknown 	2022-01-31 22:18:54 	Failed to connect to the Database - No connection could be made because the target machine actively refused it.

2001	Information 	Unknown 	2022-01-31 22:25:50 	Connection established successfully with database 
2003	Information 	Unknown 	2022-01-31 22:25:50 	The 'SELECT * FROM anonymous WHERE ip = ?' query executed successfully 
2003	Information 	Unknown 	2022-01-31 22:25:50 	The 'SELECT * FROM users WHERE user = ?' query executed successfully 
2003	Information 	Unknown 	2022-01-31 22:25:50 	The 'SELECT * FROM anonymous WHERE ip = ?' query executed successfully 
2003	Information 	Unknown 	2022-01-31 22:25:50 	The 'SELECT * FROM users WHERE user = ?' query executed successfully 
2003	Information 	Unknown 	2022-01-31 22:25:50 	The 'UPDATE users SET timestamp = ?, attempts = ? WHERE user = ?' query executed successfully 
2003	Information 	Unknown 	2022-01-31 22:25:50 	The 'UPDATE anonymous SET timestamp = ?, anattempt = ? WHERE ip = ?' query executed successfully 
2002	Information 	Unknown 	2022-01-31 22:25:50 	Connection closed successfully with database 
2001	Information 	Unknown 	2022-01-31 22:25:50 	Connection established successfully with database 
2003	Information 	Unknown 	2022-01-31 22:25:50 	The 'SELECT id, type, level FROM users WHERE user = ?' query executed successfully 
2003	Information 	Unknown 	2022-01-31 22:25:50 	The 'SELECT * FROM videos' query executed successfully 
2002	Information 	Unknown 	2022-01-31 22:25:50 	Connection closed successfully with database 
2001	Information 	Unknown 	2022-01-31 22:25:57 	Connection established successfully with database 
2003	Information 	Unknown 	2022-01-31 22:25:57 	The 'SELECT id, type, level FROM users WHERE user = ?' query executed successfully 
2003	Information 	Unknown 	2022-01-31 22:25:57 	The 'SELECT * FROM levels' query executed successfully 
2002	Information 	Unknown 	2022-01-31 22:25:57 	Connection closed successfully with database 
2001	Information 	Unknown 	2022-01-31 22:26:12 	Connection established successfully with database 
2003	Information 	Unknown 	2022-01-31 22:26:12 	The 'SELECT id, type, level FROM users WHERE user = ?' query executed successfully 
2003	Information 	Unknown 	2022-01-31 22:26:12 	The 'SELECT * FROM videos' query executed successfully 
2002	Information 	Unknown 	2022-01-31 22:26:12 	Connection closed successfully with database 
2001	Information 	Unknown 	2022-01-31 22:26:14 	Connection established successfully with database 
2003	Information 	Unknown 	2022-01-31 22:26:14 	The 'SELECT id, type, level FROM users WHERE user = ?' query executed successfully 
2003	Information 	Unknown 	2022-01-31 22:26:14 	The 'SELECT * FROM videos WHERE id = ?' query executed successfully 
2003	Information 	Unknown 	2022-01-31 22:26:14 	The 'UPDATE videos SET counter= ? WHERE id = ?' query executed successfully 
2002	Information 	Unknown 	2022-01-31 22:26:14 	Connection closed successfully with database 
2001	Information 	Unknown 	2022-01-31 22:30:15 	Connection established successfully with database 
2003	Information 	Unknown 	2022-01-31 22:30:15 	The 'SELECT id, type, level FROM users WHERE user = ?' query executed successfully 
2003	Information 	Unknown 	2022-01-31 22:30:15 	The 'SELECT * FROM videos' query executed successfully 
2002	Information 	Unknown 	2022-01-31 22:30:15 	Connection closed successfully with database 
2001	Information 	Unknown 	2022-01-31 22:31:37 	Connection established successfully with database 
2003	Information 	Unknown 	2022-01-31 22:31:37 	The 'SELECT id, type, level FROM users WHERE user = ?' query executed successfully 
2003	Information 	Unknown 	2022-01-31 22:31:37 	The 'SELECT * FROM levels' query executed successfully 
2002	Information 	Unknown 	2022-01-31 22:31:37 	Connection closed successfully with database 
2001	Information 	Unknown 	2022-01-31 22:33:21 	Connection established successfully with database 
2003	Information 	Unknown 	2022-01-31 22:33:21 	The 'SELECT id, type, level FROM users WHERE user = ?' query executed successfully 
2003	Information 	Unknown 	2022-01-31 22:33:21 	The 'SELECT * FROM videos' query executed successfully 
2003	Information 	Unknown 	2022-01-31 22:33:21 	The 'SELECT * FROM videos ORDER BY id DESC LIMIT 1' query executed successfully 
2003	Information 	Unknown 	2022-01-31 22:33:21 	The 'SELECT * FROM videos' query executed successfully 
2002	Information 	Unknown 	2022-01-31 22:33:21 	Connection closed successfully with database 
2001	Information 	Unknown 	2022-01-31 22:33:21 	Connection established successfully with database 
2003	Information 	Unknown 	2022-01-31 22:33:21 	The 'SELECT id, type, level FROM users WHERE user = ?' query executed successfully 
2003	Information 	Unknown 	2022-01-31 22:33:21 	The 'SELECT * FROM levels' query executed successfully 
2002	Information 	Unknown 	2022-01-31 22:33:21 	Connection closed successfully with database 
2001	Information 	Unknown 	2022-01-31 22:45:07 	Connection established successfully with database 
2003	Information 	Unknown 	2022-01-31 22:45:07 	The 'SELECT id, type, level FROM users WHERE user = ?' query executed successfully 
2003	Information 	Unknown 	2022-01-31 22:45:07 	The 'SELECT * FROM videos' query executed successfully 
2003	Information 	Unknown 	2022-01-31 22:45:07 	The 'SELECT * FROM videos ORDER BY id DESC LIMIT 1' query executed successfully 
2003	Information 	Unknown 	2022-01-31 22:45:07 	The 'SELECT * FROM videos' query executed successfully 
2002	Information 	Unknown 	2022-01-31 22:45:07 	Connection closed successfully with database 
2001	Information 	Unknown 	2022-01-31 22:45:07 	Connection established successfully with database 
2003	Information 	Unknown 	2022-01-31 22:45:07 	The 'SELECT id, type, level FROM users WHERE user = ?' query executed successfully 
2003	Information 	Unknown 	2022-01-31 22:45:07 	The 'SELECT * FROM levels' query executed successfully 
2002	Information 	Unknown 	2022-01-31 22:45:07 	Connection closed successfully with database 
2001	Information 	Unknown 	2022-01-31 22:45:42 	Connection established successfully with database 
2003	Information 	Unknown 	2022-01-31 22:45:42 	The 'SELECT id, type, level FROM users WHERE user = ?' query executed successfully 
2003	Information 	Unknown 	2022-01-31 22:45:42 	The 'SELECT * FROM videos' query executed successfully 
2003	Information 	Unknown 	2022-01-31 22:45:42 	The 'SELECT * FROM videos ORDER BY id DESC LIMIT 1' query executed successfully 
2003	Information 	Unknown 	2022-01-31 22:45:42 	The 'SELECT * FROM videos' query executed successfully 
2003	Information 	Unknown 	2022-01-31 22:45:42 	The 'INSERT INTO videos (id, url, level, image, caption, counter) VALUES (?,?,?,?,?,?)' query executed successfully 
2002	Information 	Unknown 	2022-01-31 22:45:42 	Connection closed successfully with database 
2001	Information 	Unknown 	2022-01-31 22:45:42 	Connection established successfully with database 
2003	Information 	Unknown 	2022-01-31 22:45:42 	The 'SELECT id, type, level FROM users WHERE user = ?' query executed successfully 
2003	Information 	Unknown 	2022-01-31 22:45:42 	The 'SELECT * FROM videos' query executed successfully 
2002	Information 	Unknown 	2022-01-31 22:45:42 	Connection closed successfully with database 
2001	Information 	Unknown 	2022-01-31 22:45:57 	Connection established successfully with database 
2003	Information 	Unknown 	2022-01-31 22:45:57 	The 'SELECT id, type, level FROM users WHERE user = ?' query executed successfully 
2003	Information 	Unknown 	2022-01-31 22:45:57 	The 'SELECT * FROM videos WHERE id = ?' query executed successfully 
2003	Information 	Unknown 	2022-01-31 22:45:57 	The 'UPDATE videos SET counter= ? WHERE id = ?' query executed successfully 
2002	Information 	Unknown 	2022-01-31 22:45:57 	Connection closed successfully with database 
2001	Information 	Unknown 	2022-01-31 22:46:02 	Connection established successfully with database 
2003	Information 	Unknown 	2022-01-31 22:46:02 	The 'SELECT id, type, level FROM users WHERE user = ?' query executed successfully 
2003	Information 	Unknown 	2022-01-31 22:46:02 	The 'SELECT * FROM videos' query executed successfully 
2002	Information 	Unknown 	2022-01-31 22:46:02 	Connection closed successfully with database 
2001	Information 	Unknown 	2022-01-31 22:46:04 	Connection established successfully with database 
2003	Information 	Unknown 	2022-01-31 22:46:04 	The 'SELECT id, type, level FROM users WHERE user = ?' query executed successfully 
2003	Information 	Unknown 	2022-01-31 22:46:04 	The 'SELECT * FROM levels' query executed successfully 
2002	Information 	Unknown 	2022-01-31 22:46:04 	Connection closed successfully with database 
2001	Information 	Unknown 	2022-01-31 22:46:40 	Connection established successfully with database 
2003	Information 	Unknown 	2022-01-31 22:46:40 	The 'SELECT id, type, level FROM users WHERE user = ?' query executed successfully 
2003	Information 	Unknown 	2022-01-31 22:46:40 	The 'SELECT * FROM videos' query executed successfully 
2003	Information 	Unknown 	2022-01-31 22:46:40 	The 'SELECT * FROM videos ORDER BY id DESC LIMIT 1' query executed successfully 
2003	Information 	Unknown 	2022-01-31 22:46:40 	The 'SELECT * FROM videos' query executed successfully 
2003	Information 	Unknown 	2022-01-31 22:46:40 	The 'INSERT INTO videos (id, url, level, image, caption, counter) VALUES (?,?,?,?,?,?)' query executed successfully 
2002	Information 	Unknown 	2022-01-31 22:46:40 	Connection closed successfully with database 
2001	Information 	Unknown 	2022-01-31 22:46:40 	Connection established successfully with database 
2003	Information 	Unknown 	2022-01-31 22:46:40 	The 'SELECT id, type, level FROM users WHERE user = ?' query executed successfully 
2003	Information 	Unknown 	2022-01-31 22:46:40 	The 'SELECT * FROM videos' query executed successfully 
2002	Information 	Unknown 	2022-01-31 22:46:40 	Connection closed successfully with database 
2001	Information 	Unknown 	2022-01-31 22:48:47 	Connection established successfully with database 
2003	Information 	Unknown 	2022-01-31 22:48:47 	The 'SELECT id, type, level FROM users WHERE user = ?' query executed successfully 
2003	Information 	Unknown 	2022-01-31 22:48:47 	The 'SELECT * FROM levels' query executed successfully 
2002	Information 	Unknown 	2022-01-31 22:48:47 	Connection closed successfully with database 
2001	Information 	Unknown 	2022-01-31 22:49:11 	Connection established successfully with database 
2003	Information 	Unknown 	2022-01-31 22:49:11 	The 'SELECT id, type, level FROM users WHERE user = ?' query executed successfully 
2003	Information 	Unknown 	2022-01-31 22:49:11 	The 'SELECT * FROM videos' query executed successfully 
2003	Information 	Unknown 	2022-01-31 22:49:11 	The 'SELECT * FROM videos ORDER BY id DESC LIMIT 1' query executed successfully 
2003	Information 	Unknown 	2022-01-31 22:49:11 	The 'SELECT * FROM videos' query executed successfully 
2003	Information 	Unknown 	2022-01-31 22:49:11 	The 'INSERT INTO videos (id, url, level, image, caption, counter) VALUES (?,?,?,?,?,?)' query executed successfully 
2002	Information 	Unknown 	2022-01-31 22:49:11 	Connection closed successfully with database 
2001	Information 	Unknown 	2022-01-31 22:49:11 	Connection established successfully with database 
2003	Information 	Unknown 	2022-01-31 22:49:11 	The 'SELECT id, type, level FROM users WHERE user = ?' query executed successfully 
2003	Information 	Unknown 	2022-01-31 22:49:11 	The 'SELECT * FROM videos' query executed successfully 
2002	Information 	Unknown 	2022-01-31 22:49:11 	Connection closed successfully with database 
2001	Information 	Unknown 	2022-01-31 22:50:46 	Connection established successfully with database 
2003	Information 	Unknown 	2022-01-31 22:50:46 	The 'SELECT id, type, level FROM users WHERE user = ?' query executed successfully 
2003	Information 	Unknown 	2022-01-31 22:50:46 	The 'SELECT * FROM levels' query executed successfully 
2002	Information 	Unknown 	2022-01-31 22:50:46 	Connection closed successfully with database 
2001	Information 	Unknown 	2022-01-31 22:51:06 	Connection established successfully with database 
2003	Information 	Unknown 	2022-01-31 22:51:06 	The 'SELECT id, type, level FROM users WHERE user = ?' query executed successfully 
2003	Information 	Unknown 	2022-01-31 22:51:06 	The 'SELECT * FROM videos' query executed successfully 
2003	Information 	Unknown 	2022-01-31 22:51:06 	The 'SELECT * FROM videos ORDER BY id DESC LIMIT 1' query executed successfully 
2003	Information 	Unknown 	2022-01-31 22:51:06 	The 'SELECT * FROM videos' query executed successfully 
2002	Information 	Unknown 	2022-01-31 22:51:06 	Connection closed successfully with database 
2001	Information 	Unknown 	2022-01-31 22:51:06 	Connection established successfully with database 
2003	Information 	Unknown 	2022-01-31 22:51:06 	The 'SELECT id, type, level FROM users WHERE user = ?' query executed successfully 
2003	Information 	Unknown 	2022-01-31 22:51:06 	The 'SELECT * FROM levels' query executed successfully 
2002	Information 	Unknown 	2022-01-31 22:51:06 	Connection closed successfully with database 
2001	Information 	Unknown 	2022-01-31 22:53:39 	Connection established successfully with database 
2003	Information 	Unknown 	2022-01-31 22:53:39 	The 'SELECT id, type, level FROM users WHERE user = ?' query executed successfully 
2003	Information 	Unknown 	2022-01-31 22:53:39 	The 'SELECT * FROM videos' query executed successfully 
2002	Information 	Unknown 	2022-01-31 22:53:39 	Connection closed successfully with database 
2001	Information 	Unknown 	2022-02-01 08:24:35 	Connection established successfully with database 
2001	Information 	Unknown 	2022-02-01 08:25:08 	Connection established successfully with database 
2001	Information 	Unknown 	2022-02-01 08:25:18 	Connection established successfully with database 
2003	Information 	Unknown 	2022-02-01 08:25:18 	The 'SELECT * FROM anonymous WHERE ip = ?' query executed successfully 
2003	Information 	Unknown 	2022-02-01 08:25:18 	The 'SELECT * FROM users WHERE user = ?' query executed successfully 
2003	Information 	Unknown 	2022-02-01 08:25:18 	The 'SELECT * FROM anonymous WHERE ip = ?' query executed successfully 
2003	Information 	Unknown 	2022-02-01 08:25:18 	The 'SELECT * FROM users WHERE user = ?' query executed successfully 
